Bibliographic,,,,,,,,,,,,,,
#283,Carcamo 2013,5,Gaviota Island National Protected Asset,National Protected Asset,N/A,6,193 ha,Gaviota Island,N/A,N/A,N/A,N/A,Ministry of National Assets,N/A
#255,deJuan 2015,1,Las Cruces ,No-take MPA,N/A,31,N/A,Las Cruces ,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,2,El Quisco,MEABR,N/A,N/A,N/A,El Quisco,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,3,Quintay,MEABR,N/A,N/A,N/A,Quintay,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,4,Laguna Verde,MEABR,N/A,N/A,N/A,Laguna Verde,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,5,Maitencillo,MEABR,N/A,N/A,N/A,Maitencillo,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#255,deJuan 2015,6,Los Molles,MEABR,N/A,N/A,N/A,Los Molles,Between 28°S and 33°S,N/A,N/A,N/A,Fishermen's associations,N/A
#354,Gelcich 2009,1,Chigualoco ,MEABR,N/A,7,N/A,Chigualoco ,31°55?S,71°00?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,2,Cooperativa,MEABR,N/A,7,N/A,Cooperativa,31°55?S,71°00?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,3,Algarrobo ,MEABR,N/A,7,N/A,Algarrobo ,N/A,N/A,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,4,El Quisco,MEABR,N/A,7,N/A,El Quisco,N/A,N/A,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,5,La Boca,MEABR,N/A,3,N/A,La Boca,33°55?S,71°50?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,6,Matanzas,MEABR,N/A,3,N/A,Matanzas,33°57?S,71°52?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,7,Puertecillo,MEABR,N/A,3,N/A,Puertecillo,33°55?S,71°50?W,N/A,N/A,Fishers,N/A
#354,Gelcich 2009,8,Carelmapu,MEABR,N/A,5,N/A,Carelmapu,41°51?S,73°35?W,N/A,N/A,Fishers,N/A
#375,Thompson 2008,1,Islas Choros-Damas Marine Reserve,Marine reserve,N/A,3,N/A,Choros and Damas Islands,29° 13? 29? S,71° 31? 38? W,N/A,N/A,National Fisheries Service,N/A
#121,Aburto 2020,1,Motu Motiro Hiva Marine Park (MMHMP),No-take MPA,N/A,10,15000000,Salas y Gomez Island,N/A,N/A,N/A,N/A,"Rapanui people, Chilean Government",N/A
#280,Aburto 2014,1,Tongoy,MEABR,N/A,13,N/A,Tongoy Bay,30°15? S,70°30? W,N/A,N/A,Tongoy Fishers Organisation,N/A
#92,Aburto 2021,1,Peńuelas A ,MEABR,N/A,19,N/A,Coquimbo Bay,N/A,N/A,N/A,N/A,3 fisher's organisations,N/A
#146,Anbleyth-Evans 2020,1,Dalcahue,MEABR,N/A,N/A,N/A,Dalcahue,N/A,N/A,N/A,N/A,Fishers,N/A
#146,Anbleyth-Evans 2020,2,Mańihueico - Huinay ECMPO,ECMPO (Indigenous Peoples Marine Spaces),N/A,N/A,N/A,Mańihueico - Huinay ,N/A,N/A,N/A,N/A,Huilliche-Mapuche indigenous community,N/A
#146,Anbleyth-Evans 2020,3,Lafkenmapu Lahuel MPA,MPA,N/A,N/A,N/A,Caleta Condor,N/A,N/A,N/A,N/A,N/A,N/A
#146,Anbleyth-Evans 2020,4,Maullin,MEABR,N/A,N/A,N/A,Maullin,N/A,N/A,N/A,N/A,Fishers,N/A
#129,Brain 2020,1,Almirantazgo Sound,Multiple-use MPA,N/A,1,"76,400 ha ","Timaukel Commune, Province of Tierra del Fuego",N/A,N/A,Artisanal extraction of benthic resources is permitted,Tourism permitted,Ministry of Environment,N/A
#10,Franco-Melendez 2025,1,San Vicente,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,2,Candelaria-Cantera,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,3,Rari,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,4,Dichato,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,5,Punta Raimenco,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,6,Bajo Rumena,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,7,Rumena,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,8,Los Piures,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,9,Cobquecura sector,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,10,Puerto Yana,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,11,Maule,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,12,Punta Lavapie,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,13,Pueblo Hundido,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,14,Laraquete,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Coastal
#10,Franco-Melendez 2025,15,Los Partidos,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#10,Franco-Melendez 2025,16,Puerto Sur,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#10,Franco-Melendez 2025,17,Pueblo Norte sector B,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#10,Franco-Melendez 2025,18,Punta Cadena,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#10,Franco-Melendez 2025,19,Weste Isla Mocha,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#10,Franco-Melendez 2025,20,Quechol,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#10,Franco-Melendez 2025,21,Quechol Sur,TURF,N/A,N/A,N/A,Biobío Region,N/A,N/A,N/A,N/A,Artisanal fisher organizations,Island
#678,Gallardo-Fernández 2011,1,Peńuelas ,TURF,N/A,13,288 ha,Region IV,N/A,N/A,N/A,N/A,Fishers,N/A
#678,Gallardo-Fernández 2011,2,Chigualoco,TURF,N/A,8,600 ha ,Region IV,N/A,N/A,N/A,N/A,Fishers,N/A
#304,Aburto 2013,1,Caleta Guayacán ,MEABR,N/A,N/A,N/A,Coquimbo ,29°58’S,71°22’W,N/A,N/A,"Fishers, SERNAPESCA",N/A
#304,Aburto 2013,2,Caleta Huentelauquén,MEABR,N/A,19,N/A,Huentelauquén,31°55’S,71°25’W,Harvests limited to a few days per year,N/A,"Fishers, SERNAPESCA",N/A
#1,Ruz 2025,1,Unspecified / not named,TURF,N/A,N/A,N/A,Northern coast,27°S,N/A,N/A,N/A,N/A,Subtidal
#1,Ruz 2025,2,Unspecified / not named,TURF,N/A,N/A,N/A,North-central coast,29°S,N/A,N/A,N/A,N/A,Subtidal
#1,Ruz 2025,3,Unspecified / not named,TURF,N/A,N/A,N/A,Central coast,32°S,N/A,N/A,N/A,N/A,Subtidal
#3,Gonzalez-Roca 2026,1,El Cisne,MEABR,N/A,N/A,N/A,Atacama region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,2,Totoral Bajo,MEABR,N/A,N/A,N/A,Atacama region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,3,Carrizal Bajo,MEABR,N/A,N/A,N/A,Atacama region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,4,Los Bronces,MEABR,N/A,N/A,N/A,Atacama region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,5,Chańaral de Aceituno,MEABR,N/A,N/A,N/A,Atacama region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,6,Chungungo,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,7,Totoralillo Norte,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,8,Caleta Hornos,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,9,Totoralillo Centro,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,10,Sierra,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,11,Sierra II,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,12,Mantos de Hornillo,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,13,Puerto Manso,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,14,Islas Blancas,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,15,Coop. Las Conchas,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,16,A. G. Caleta Las Conchas,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,17,Caleta San Pedro Union,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,18,Lord Willow Women Union ,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#3,Gonzalez-Roca 2026,19,Lobos,MEABR,N/A,N/A,N/A,Coquimbo region,N/A,N/A,N/A,N/A,N/A,N/A
#493,Gres 2024,1,Chańaral Island,MPA,N/A,N/A,N/A,Chańaral Island,29°2'S,71°34'W,N/A,N/A,N/A,Subtidal
#223,Perez-Matus 2017,1,Punta Lengua de Vaca,TURF,N/A,17,N/A,Punta de Talca,31° S ,N/A,N/A,N/A,N/A,Subtidal
#223,Perez-Matus 2017,2,Punta Curaumilla,TURF,N/A,17,N/A,Quintay,33° S,N/A,N/A,N/A,N/A,Subtidal
#223,Perez-Matus 2017,3,Guanaqueros ,TURF,N/A,17,N/A,Totoralillo ,30° S,N/A,N/A,N/A,N/A,Subtidal
#223,Perez-Matus 2017,4,El Quisco-Algarrobo,TURF,N/A,15,N/A,Algarrobo ,33° S,N/A,N/A,N/A,N/A,Subtidal
#657,Almanza 2013,1,Bahía Mansa A,MEABR,N/A,N/A,N/A,Bahía Mansa,40° 34?S,73° 44?W,N/A,N/A,N/A,Subtidal
#657,Almanza 2013,2,Bahía Mansa B,MEABR,N/A,N/A,N/A,Bahía Mansa,40° 34?S,73° 44?W,N/A,N/A,N/A,Subtidal
#657,Almanza 2013,3,Maicolpué,MEABR,N/A,N/A,N/A,Maicolpué,40° 35?S,73° 44?W,N/A,N/A,N/A,Subtidal
#242,Biggs 2016,1,Central Chile (x 80 TURFs),TURF,N/A,N/A,N/A,Between Pichidangui and Pichilemu ,Between 32°08?00?S and 34° 23? 0? S,Between 72° 0? 0? W and 71°32?00?W,N/A,N/A,Fisher associations,N/A
#161,Avendano 2019,1,La Rinconada,Marine reserve,N/A,N/A,N/A,"La Rinconada, Antofagasta Bay",23° 28?28 ?S,70° 30?35?W,N/A,N/A,N/A,Coastal
#122,Albornoz 2020,1,Los Lagos region,MEABR,N/A,N/A,N/A,Los Lagos region,N/A,N/A,N/A,N/A,N/A,N/A
#303,Aburto 2013,1,Tongoy Bay,MEABR,N/A,11,N/A,Tongoy Bay,30°15? S,70°30? W,N/A,N/A,Fishers' association,N/A
#50,Albornoz 2024,1,Unspecified / not named,TURF,N/A,N/A,N/A,Tarapacá region,N/A,N/A,N/A,N/A,Fishers' organisation,N/A
#50,Albornoz 2024,2,Unspecified / not named,TURF,N/A,N/A,N/A,Tarapacá region,N/A,N/A,N/A,N/A,Fishers' organisation,N/A
#191,Oyanedel 2018,1,Unspecified / not named,TURF,N/A,N/A,N/A,Los Molles,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,2,Unspecified / not named,TURF,N/A,N/A,N/A,Pichicuy,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,3,Unspecified / not named,TURF,N/A,N/A,N/A,Papudo,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,4,Unspecified / not named,TURF,N/A,N/A,N/A,Zapallar,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,5,Unspecified / not named,TURF,N/A,N/A,N/A,Maitencillo,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,6,Unspecified / not named,TURF,N/A,N/A,N/A,Horcon,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,7,Unspecified / not named,TURF,N/A,N/A,N/A,Ventanas,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,8,Unspecified / not named,TURF,N/A,N/A,N/A,Quintero,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,9,Unspecified / not named,TURF,N/A,N/A,N/A,Montemar,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,10,Unspecified / not named,TURF,N/A,N/A,N/A,Laguna Verde,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,11,Unspecified / not named,TURF,N/A,N/A,N/A,Algarrobo ,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,12,Unspecified / not named,TURF,N/A,N/A,N/A,El Quisco,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,13,Unspecified / not named,TURF,N/A,N/A,N/A,Las Cruces,N/A,N/A,N/A,N/A,N/A,N/A
#191,Oyanedel 2018,14,Unspecified / not named,TURF,N/A,N/A,N/A,San Antonio,N/A,N/A,N/A,N/A,N/A,N/A
#86,Romero 2022,1,Antofagasta (X2),TURF,N/A,N/A,N/A,Antofagasta (X2),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#86,Romero 2022,2,Atacama (X10),TURF,N/A,N/A,N/A,Atacama (X10),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#86,Romero 2022,3,Coquimbo (X28),TURF,N/A,N/A,N/A,Coquimbo (X28),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#86,Romero 2022,4,Valparaíso (X7),TURF,N/A,N/A,N/A,Valparaíso (X7),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#86,Romero 2022,5,Bio Bío (X6),TURF,N/A,N/A,N/A,Bio Bío (X6),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#86,Romero 2022,6,Los Ríos (X15),TURF,N/A,N/A,N/A,Los Ríos (X15),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#86,Romero 2022,7,Los Lagos (X32),TURF,N/A,N/A,N/A,Los Lagos (X32),"Between 25,5? S and 41,2?S","Between 70,4?W and 74,1?W",N/A,N/A,Fisher associations,N/A
#78,Cerda 2022,1,Arica-Parinacota (X1),TURF,N/A,N/A,N/A,Arica-Parinacota (X1),Between 18° S and 33° S,N/A,N/A,N/A,Fisher associations,N/A
#78,Cerda 2022,2,Tarapacá (X8),TURF,N/A,N/A,N/A,Tarapacá (X8),Between 18° S and 33° S,N/A,N/A,N/A,Fisher associations,N/A
#78,Cerda 2022,3,Antofagasta (X8),TURF,N/A,N/A,N/A,Antofagasta (X8),Between 18° S and 33° S,N/A,N/A,N/A,Fisher associations,N/A
#78,Cerda 2022,4,Atacama (X19),TURF,N/A,N/A,N/A,Atacama (X19),Between 18° S and 33° S,N/A,N/A,N/A,Fisher associations,N/A
#78,Cerda 2022,5,Coquimbo (45),TURF,N/A,N/A,N/A,Coquimbo (45),Between 18° S and 33° S,N/A,N/A,N/A,Fisher associations,N/A
#78,Cerda 2022,6,Valparaíso (21),TURF,N/A,N/A,N/A,Valparaíso (21),Between 18° S and 33° S,N/A,N/A,N/A,Fisher associations,N/A
#225,Crona 2017,1,Los Molles,TURF,N/A,>6,N/A,Los Molles,N/A,N/A,N/A,N/A,"Artisanal fisher organizations, Undersecretary of fisheries",Subtidal
#225,Crona 2017,2,Maitencillo,TURF,N/A,>6,N/A,Maitencillo,N/A,N/A,N/A,N/A,"Artisanal fisher organizations, Undersecretary of fisheries",Subtidal
#225,Crona 2017,3,Montemar,TURF,N/A,>6,N/A,Montemar,N/A,N/A,N/A,N/A,"Artisanal fisher organizations, Undersecretary of fisheries",Subtidal
#225,Crona 2017,4,Quintay,TURF,N/A,>6,N/A,Quintay,N/A,N/A,N/A,N/A,"Artisanal fisher organizations, Undersecretary of fisheries",Subtidal
#225,Crona 2017,5,Algarrobo,TURF,N/A,>6,N/A,Algarrobo,N/A,N/A,N/A,N/A,"Artisanal fisher organizations, Undersecretary of fisheries",Subtidal
#225,Crona 2017,6,El Quisco,TURF,N/A,>6,N/A,El Quisco,N/A,N/A,N/A,N/A,"Artisanal fisher organizations, Undersecretary of fisheries",Subtidal
#109,Fernandez 2021,1,National,MPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#109,Fernandez 2021,2,National,TURF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#109,Fernandez 2021,3,National,Marine park,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#109,Fernandez 2021,4,National,Natural sanctuary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#109,Fernandez 2021,5,National,Marine reserve,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#109,Fernandez 2021,6,National,Coastal areas for Indigenous groups,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
#2,Sapag 2025,1,Unspecified / not named,No-take MPA,N/A,N/A,1500,Magellan Strait,N/A,N/A,N/A,N/A,N/A,Fjord
#2,Sapag 2025,2,Unspecified / not named,Multiple-use MPA,N/A,NA,66800,Magellan Strait,N/A,N/A,N/A,N/A,N/A,Fjord
#150,Arias 2020,1,Atacama (X33),TURF,N/A,N/A,N/A,Atacama (X33),N/A,N/A,N/A,N/A,N/A,N/A
#150,Arias 2020,2,Coquimbo (X76),TURF,N/A,N/A,N/A,Coquimbo (X76),N/A,N/A,N/A,N/A,N/A,N/A
#55,Arias 2023,1,Atacama (X22),TURF,N/A,N/A,N/A,Atacama,N/A,N/A,N/A,N/A,Fishers' organisations,N/A
#55,Arias 2023,2,Coquimbo (X61),TURF,N/A,N/A,N/A,Coquimbo,N/A,N/A,N/A,N/A,Fishers' organisations,N/A
#133,Anguita 2020,1,Chile (224),TURF,N/A,N/A,N/A,Chile,Between 18 and 41°S,N/A,N/A,N/A,N/A,N/A
#503,Avendańo 2023,1,La Rinconada,Marine reserve,N/A,12,338 ha,La Rinconada,N/A,N/A,Contains no-take sectors,N/A,N/A,N/A
#76 ,Avendano 2022,1,La Rinconada,Marine reserve,N/A,4,N/A,La Rinconada,23°28’28”S,70°30’35”W,N/A,N/A,N/A,N/A
#312,Zapata 2012,1,La Rinconada,Marine reserve,N/A,15,N/A,La Rinconada,23? 28 S,70°30’W,N/A,N/A,N/A,Coastal
#322,Squeo 2012,1,National,Marine park,N/A,N/A,N/A,Chile,Between 18 and 55°S,N/A,N/A,N/A,N/A,N/A
#322,Squeo 2012,2,National,Marine reserve,N/A,N/A,N/A,Chile,Between 18 and 55°S,N/A,N/A,N/A,N/A,N/A
#322,Squeo 2012,3,National,Multiple-use MPA,N/A,N/A,N/A,Chile,Between 18 and 55°S,N/A,N/A,N/A,N/A,N/A
#322,Squeo 2012,4,National,Protected National Properties,N/A,N/A,N/A,Chile,Between 18 and 55°S,N/A,N/A,N/A,N/A,N/A
#279,Rosas 2014,1,Los Lagos (X45),TURF,N/A,N/A,N/A,Los Lagos Region,N/A,N/A,N/A,N/A,Artisanal organisations,N/A
#113,Romero 2021,1,National (X219),MEABR,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#71,Quezada 2023,1,National (X232),TURF,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#367,Avendano 2008,1,La Rinconada,Marine reserve,N/A,7,N/A,La Rinconada,23°28’28”S,70°30’35”W,N/A,N/A,N/A,Coastal
#397,Cantillanez 2005,1,La Rinconada,Marine reserve,N/A,8,N/A,La Rinconada,23°28’28”S,70°30’35”W,N/A,N/A,N/A,N/A
#176 ,Carcamo 2019,1,National,Marine protected area,N/A,N/A,N/A,Chile,Between 29°02?S and 48°23?S,N/A,N/A,N/A,N/A,N/A
#108,Gonzalez 2021,1,Choros Island ,MEABR,N/A,12,N/A,Choros Island,N/A,N/A,Located in Isla Choros-Damas marine reserve,N/A,Fishermen's union,N/A
#52,Huaiquimilla-Guerrero 2023,1,National,MPA,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#52,Huaiquimilla-Guerrero 2023,2,National,Marine and Coastal Areas for Indigenous Peoples,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#52,Huaiquimilla-Guerrero 2023,3,National,Marine park,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#52,Huaiquimilla-Guerrero 2023,4,National,Marine reserve,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#52,Huaiquimilla-Guerrero 2023,5,National,Natural sanctuary,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,N/A,N/A
#311,Lee 2012,1,Las Cruces,Marine reserve,N/A,5,N/A,Las Cruces,33°31?S ,071°38?W,N/A,N/A,Pontificia Universidad Católica de Chile,Mid-intertidal
#216,Avendano 2017,1,La Rinconada,Marine reserve,N/A,6,337.61 ha,Antofagasta Bay,23°28?28?S ,70°30?35?W,N/A,N/A,N/A,N/A
#163,Luna-Jorquera 2019,1,Rapa Nui Rahui MPA,MPA,N/A,3,63136800 ha,Rapa Nui,N/A,N/A,N/A,N/A,N/A,N/A
#187,Chavez 2018,1,Coliumo,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,2,Cerro Verde Bajo,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,3,Lirquén,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,4,Chome,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,5,Maule,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,6,Lota,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,7,Llico,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,8,Arauco,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,9,Los Piures,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,10,Rumena,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,11,Punta Lavapie,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#187,Chavez 2018,12,Perone,TURF,N/A,N/A,N/A,Biobío region,N/A,N/A,N/A,N/A,Artisanal fishing organizations,N/A
#416,Cornelius 2001,1,Las Cruces,Marine reserve,N/A,17,0.4152 ha,Las Cruces,33°30?S ,71°38?W,N/A,N/A,N/A,Rocky shore
#501,Chávez 2023,1,National,TURF,N/A,N/A,N/A,Chile,N/A,N/A,N/A,N/A,Fisher unions,N/A
#214,Davis 2017,1,Los Molles,TURF,N/A,N/A,N/A,Los Molles,32?24S,71?51W,N/A,N/A,Fisher organisations,N/A
#214,Davis 2017,2,Pichicuy,TURF,N/A,N/A,N/A,Pichicuy,Between 32 and 34 S,Between 71 and 71'8 W,N/A,N/A,Fisher organisations,N/A
#214,Davis 2017,3,Maintencello,TURF,N/A,N/A,N/A,Maintencello,Between 32 and 34 S,Between 71 and 71'8 W,N/A,N/A,Fisher organisations,N/A
